Import Execution took: 531419 ms
Query 1 Execution took: 590 ms
Query 2 Execution took: 934 ms
Query 3 Execution took: 1017 ms
Query 4 Execution took: 2545 ms
Query 5 Execution took: 1907 ms
Query 6 Execution took: 3042 ms
Query 7 Execution took: 2180 ms
Query 8 Execution took: 1953 ms
Query 9 Execution took: 656 ms
Query 10 Execution took: 2661 ms
Query 11 Execution took: 150 ms
Query 12 Execution took: 1030 ms
Query 1 Execution took: 674 ms
Query 2 Execution took: 993 ms
Query 3 Execution took: 1304 ms
Query 4 Execution took: 3181 ms
Query 5 Execution took: 2377 ms
Query 6 Execution took: 3855 ms
Query 7 Execution took: 1947 ms
Query 8 Execution took: 2836 ms
Query 9 Execution took: 586 ms
Query 10 Execution took: 3430 ms
Query 11 Execution took: 111 ms
Query 12 Execution took: 978 ms
Query 1 Execution took: 479 ms
Query 2 Execution took: 628 ms
Query 3 Execution took: 1959 ms
Query 4 Execution took: 4685 ms
Query 5 Execution took: 2728 ms
Query 6 Execution took: 4517 ms
Query 7 Execution took: 1967 ms
Query 8 Execution took: 3803 ms
Query 9 Execution took: 675 ms
Query 10 Execution took: 4710 ms
Query 11 Execution took: 114 ms
Query 12 Execution took: 949 ms
Query 1 Execution took: 642 ms
Query 2 Execution took: 819 ms
Query 3 Execution took: 1313 ms
Query 4 Execution took: 4526 ms
Query 5 Execution took: 2106 ms
Query 6 Execution took: 3553 ms
Query 7 Execution took: 2583 ms
Query 8 Execution took: 2674 ms
Query 9 Execution took: 692 ms
Query 10 Execution took: 5182 ms
Query 11 Execution took: 84 ms
Query 12 Execution took: 927 ms
Query 1 Execution took: 456 ms
Query 2 Execution took: 932 ms
Query 3 Execution took: 1512 ms
Query 4 Execution took: 5158 ms
Query 5 Execution took: 2397 ms
Query 6 Execution took: 2852 ms
Query 7 Execution took: 3036 ms
Query 8 Execution took: 1721 ms
Query 9 Execution took: 756 ms
Query 10 Execution took: 6462 ms
Query 11 Execution took: 86 ms
Query 12 Execution took: 1106 ms
Query 1 Execution took: 465 ms
Query 2 Execution took: 749 ms
Query 3 Execution took: 1782 ms
Query 4 Execution took: 4867 ms
Query 5 Execution took: 2959 ms
Query 6 Execution took: 3069 ms
Query 7 Execution took: 4398 ms
Query 8 Execution took: 2366 ms
Query 9 Execution took: 605 ms
Query 10 Execution took: 8585 ms
Query 11 Execution took: 69 ms
Query 12 Execution took: 1422 ms
Query 1 Execution took: 339 ms
Query 2 Execution took: 388 ms
Query 3 Execution took: 1541 ms
Query 4 Execution took: 5262 ms
Query 5 Execution took: 2379 ms
Query 6 Execution took: 3007 ms
Query 7 Execution took: 5777 ms
Query 8 Execution took: 3069 ms
Query 9 Execution took: 434 ms
Query 10 Execution took: 5933 ms
Query 11 Execution took: 46 ms
Query 12 Execution took: 1948 ms
Query 1 Execution took: 252 ms
Query 2 Execution took: 532 ms
Query 3 Execution took: 2509 ms
Query 4 Execution took: 4904 ms
Query 5 Execution took: 2372 ms
Query 6 Execution took: 3828 ms
Query 7 Execution took: 8647 ms
Query 8 Execution took: 1872 ms
Query 9 Execution took: 429 ms
Query 10 Execution took: 6066 ms
Query 11 Execution took: 27 ms
Query 12 Execution took: 2018 ms
Query 1 Execution took: 358 ms
Query 2 Execution took: 305 ms
Query 3 Execution took: 2907 ms
Query 4 Execution took: 5030 ms
Query 5 Execution took: 1681 ms
Query 6 Execution took: 2915 ms
Query 7 Execution took: 11377 ms
Query 8 Execution took: 1842 ms
Query 9 Execution took: 297 ms
Query 10 Execution took: 7997 ms
Query 11 Execution took: 29 ms
Query 12 Execution took: 2102 ms
Query 1 Execution took: 273 ms
Query 2 Execution took: 302 ms
Query 3 Execution took: 3493 ms
Query 4 Execution took: 6609 ms
Query 5 Execution took: 2068 ms
Query 6 Execution took: 2382 ms
Query 7 Execution took: 15173 ms
Query 8 Execution took: 2241 ms
Query 9 Execution took: 364 ms
Query 10 Execution took: 8919 ms
Query 11 Execution took: 34 ms
Query 12 Execution took: 2262 ms
